-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  6.37   longitude 2.43 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN
2023,112,29.69,25.96,86.48,3.13,19.39
2023,113,29.11,26.7,89.03,2.9,8.06
2023,114,29.34,26.31,83.29,1.25,15.73
2023,115,30.44,25.52,83.38,1.8,22.75
2023,116,29.07,26.08,86.72,2.47,14.95
2023,117,28.2,25.7,87.41,2.32,10.29
2023,118,30.24,25.17,81.97,2.13,17.35
2023,119,28.58,25.01,85.53,2.38,13.8
2023,120,27.96,24.58,84.01,2.43,13.98
2023,121,29.89,25.65,83.68,2.78,19.61
2023,122,30.22,25.61,80.36,2.21,20.85
2023,123,29.85,25.76,79.09,1.89,21.45
2023,124,29.61,25.69,84.94,1.8,20.27
2023,125,30.52,25.65,81.04,1.33,22.43
2023,126,29.55,25.94,82.48,2.23,14.67
2023,127,29.85,25.34,82.76,2.06,21.77
2023,128,30.01,25.61,84.2,1.69,19.27
2023,129,30.1,26.12,84.86,1.89,22.54
2023,130,29.4,26.9,87.02,2.75,21.27
2023,131,29.6,26.58,86.7,2.81,20.42
2023,132,29.81,26.85,85.01,1.8,17.61
2023,133,30.15,26.67,86.97,1.59,12.34
2023,134,29.9,26.45,88.8,2.02,13.65
2023,135,29.59,26.74,88.61,2.38,8.34
2023,136,29.85,26.46,86.64,2.58,14.84
2023,137,29.67,26.28,87.72,2.22,21.22
2023,138,29.56,26.55,85.13,1.45,13.12
2023,139,29.53,26.16,87.36,2.15,21.24
2023,140,29.85,26.11,86.88,2.12,12.09
2023,141,28.92,26.19,86.94,2.11,17.89
2023,142,30.45,25.7,84.55,1.79,16.13
2023,143,29.2,26.27,87.78,1.72,17.19
2023,144,29.32,26.35,87.29,1.86,18.27
2023,145,29.11,26.48,86.85,2.0,19.72
2023,146,29.53,26.31,85.62,2.51,20.14
2023,147,28.73,26.06,89.53,2.49,2.72
2023,148,29.45,25.5,87.3,2.52,18.52
2023,149,29.4,26.16,86.11,2.23,5.83
2023,150,29.0,26.17,85.42,1.85,18.96
2023,151,29.44,26.25,88.65,2.39,19.61
2023,152,29.04,26.52,89.25,2.41,15.77
2023,153,28.04,25.86,89.91,2.63,15.09
2023,154,28.64,25.56,86.08,2.28,9.88
2023,155,29.5,24.85,84.91,2.47,16.51
2023,156,28.81,25.65,87.55,2.96,19.76
2023,157,27.44,25.55,91.06,2.89,8.46
2023,158,27.43,25.06,89.47,2.6,11.19
2023,159,27.74,24.99,87.1,2.34,12.03
2023,160,29.08,24.78,85.13,2.09,19.33
2023,161,28.76,25.48,88.32,2.73,11.16
2023,162,27.87,25.43,88.49,3.1,8.91
2023,163,28.76,24.94,83.33,2.27,23.24
2023,164,28.18,24.96,85.19,2.19,23.29
2023,165,28.93,24.95,86.58,3.27,13.48
2023,166,26.95,25.16,89.41,3.08,10.0
2023,167,29.15,24.84,84.55,2.07,17.05
2023,168,29.44,25.08,86.07,2.57,18.47
2023,169,29.11,25.56,88.08,3.13,17.6
2023,170,27.03,25.57,92.42,2.27,12.53
2023,171,27.29,24.89,90.93,2.57,13.28
2023,172,28.5,24.44,86.81,2.31,8.12
2023,173,27.78,24.34,88.71,2.42,11.88
2023,174,28.36,24.52,89.18,3.58,14.17
2023,175,27.25,24.67,89.2,3.87,7.15
2023,176,27.9,24.37,85.31,2.94,20.46
2023,177,27.84,23.68,84.21,2.81,19.78
2023,178,27.64,23.64,85.77,3.45,19.65
2023,179,27.7,23.93,88.68,3.4,12.07
2023,180,27.91,23.85,88.86,2.32,19.12
2023,181,28.31,23.82,87.34,2.09,18.29
2023,182,28.56,24.36,88.96,2.52,19.63
2023,183,27.6,24.5,90.21,1.9,13.24
2023,184,28.4,23.95,87.22,2.04,19.53
2023,185,28.52,24.31,88.63,2.52,17.84
2023,186,28.42,24.59,88.57,2.03,15.3
2023,187,29.0,24.33,88.27,2.34,18.52
2023,188,28.81,24.73,89.41,3.08,10.48
2023,189,26.6,24.98,92.63,3.22,7.09
2023,190,26.75,24.47,92.29,2.45,10.56
2023,191,27.53,24.3,89.49,2.16,17.89
2023,192,28.58,24.09,87.98,2.68,17.36
2023,193,27.27,24.7,91.82,2.32,8.1
2023,194,28.62,24.52,88.22,2.18,15.03
2023,195,28.87,24.4,88.09,1.84,16.68
2023,196,28.94,24.84,88.98,2.27,13.72
2023,197,29.31,24.61,88.08,2.78,18.18
2023,198,27.39,25.06,89.52,2.68,18.17
2023,199,28.83,24.76,90.03,2.94,17.55
2023,200,28.32,25.2,90.2,3.23,19.59
2023,201,28.49,24.88,89.76,3.17,18.19
2023,202,28.51,24.78,89.27,3.24,10.25
2023,203,28.01,24.79,89.82,3.55,7.64
2023,204,27.12,24.42,91.03,3.04,7.3
2023,205,27.61,24.12,90.4,2.97,12.14
2023,206,27.96,23.88,89.0,2.39,15.87
2023,207,28.79,23.84,88.67,2.7,12.87
2023,208,28.67,24.19,89.14,2.84,12.76
2023,209,28.01,24.48,90.31,3.23,13.97
2023,210,27.63,24.47,90.88,2.45,11.75
2023,211,27.21,24.15,91.41,2.32,16.61
2023,212,28.25,24.55,90.15,3.52,11.26
2023,213,27.01,24.62,90.65,3.85,8.73
2023,214,26.96,24.01,89.36,3.22,13.23
2023,215,27.99,23.77,86.19,2.77,13.5
2023,216,28.4,23.78,87.14,2.68,13.24
2023,217,28.35,23.99,87.64,3.1,15.61
2023,218,28.03,23.89,88.21,3.31,13.87
2023,219,27.21,24.11,88.87,2.92,12.79
2023,220,27.97,23.95,88.35,3.69,13.35
2023,221,28.01,24.2,87.73,3.92,13.7
2023,222,27.88,23.99,86.37,3.19,14.53
2023,223,27.59,23.53,86.53,2.53,11.07
2023,224,28.38,23.71,87.47,3.11,9.81
2023,225,27.07,24.01,89.47,3.54,14.12
2023,226,27.38,23.9,90.23,2.95,9.19
2023,227,27.83,23.82,89.45,1.71,9.76
2023,228,29.16,23.43,86.95,1.71,15.67
2023,229,27.55,24.36,91.69,2.41,17.38
2023,230,27.3,24.36,90.9,2.95,10.65
2023,231,27.84,24.1,89.46,1.91,8.95
2023,232,28.68,23.82,88.67,1.77,18.86
2023,233,28.82,24.5,89.23,2.39,18.07
2023,234,27.56,24.3,90.34,2.57,16.65
2023,235,27.1,24.38,91.08,3.42,15.51
2023,236,27.56,24.28,89.33,1.89,14.62
2023,237,28.54,24.22,88.9,2.28,16.41
2023,238,28.05,24.45,90.4,2.93,16.68
2023,239,27.87,24.32,90.85,2.5,13.6
2023,240,26.73,24.06,91.26,2.09,13.14
2023,241,28.19,24.05,90.12,2.44,18.83
2023,242,27.3,24.75,91.46,2.89,14.61
2023,243,28.1,24.3,90.24,2.61,16.63
2023,244,27.87,24.11,89.62,2.58,16.09
2023,245,27.73,24.25,91.07,2.97,6.78
2023,246,26.96,24.0,91.03,2.53,10.38
2023,247,27.43,23.85,90.12,2.69,11.27
2023,248,27.67,24.39,90.26,2.69,11.99
2023,249,28.9,23.92,88.34,2.25,17.63
2023,250,29.38,24.25,88.7,2.73,18.08
2023,251,27.54,24.84,91.78,3.29,18.98
2023,252,26.36,24.56,93.61,2.45,13.71
2023,253,27.18,24.25,91.79,2.11,16.85
2023,254,27.98,24.47,91.43,2.75,17.4
2023,255,28.2,24.74,91.51,3.34,7.18
2023,256,27.65,24.58,90.59,3.0,10.51
2023,257,28.81,24.35,88.2,2.34,19.1
2023,258,27.42,24.81,91.06,2.93,15.88
2023,259,27.68,24.89,90.02,3.07,3.21
2023,260,28.17,24.62,90.0,2.91,14.03
2023,261,28.16,24.35,90.45,2.16,14.62
2023,262,28.98,24.17,87.71,1.97,18.57
2023,263,28.8,24.57,89.83,1.84,19.39
2023,264,28.64,24.75,89.94,2.26,18.63
2023,265,27.64,24.99,91.99,2.33,4.49
2023,266,27.8,24.58,86.63,1.65,15.42
2023,267,28.2,24.32,88.37,1.88,12.32
2023,268,28.28,24.59,89.08,1.88,17.77
2023,269,29.26,24.52,88.16,2.02,19.84
2023,270,29.87,25.15,87.74,2.43,19.51
2023,271,28.8,25.42,89.4,2.86,18.54
2023,272,27.91,25.36,90.11,1.83,14.19
2023,273,29.37,25.13,87.42,1.73,21.59
2023,274,29.12,25.04,89.43,2.83,18.65
2023,275,29.48,25.22,86.55,2.7,21.6
2023,276,29.71,24.96,85.49,2.5,18.66
2023,277,29.29,25.07,87.11,2.17,19.15
2023,278,26.91,24.96,91.45,1.97,12.28
2023,279,29.56,24.32,87.17,1.77,18.1
2023,280,27.95,25.23,89.12,2.11,12.07
2023,281,28.61,24.87,87.19,2.03,15.72
2023,282,27.85,24.88,88.0,1.92,13.63
2023,283,28.63,24.98,88.95,1.82,18.43
2023,284,27.53,25.28,90.47,2.08,16.02
2023,285,27.41,25.08,89.65,1.94,15.76
2023,286,28.54,24.57,85.14,1.46,15.42
2023,287,28.03,25.02,89.01,1.7,13.0
2023,288,27.77,25.03,90.03,2.08,18.54
2023,289,27.51,24.74,89.6,2.58,16.3
2023,290,28.83,24.44,83.8,1.35,5.85
2023,291,30.43,24.33,85.07,1.41,21.92
2023,292,29.43,25.73,88.52,2.26,18.57
2023,293,29.41,25.18,86.65,1.89,19.58
2023,294,28.32,25.86,89.0,2.08,18.75
2023,295,29.36,25.62,88.18,1.93,17.79
2023,296,28.36,25.69,88.0,2.26,14.73
2023,297,28.87,25.18,86.75,2.38,17.36
2023,298,28.64,25.53,88.37,2.68,20.48
2023,299,29.41,25.59,88.14,2.3,17.51
2023,300,28.85,25.39,87.15,1.94,20.92
2023,301,30.23,24.9,85.19,1.59,19.44
2023,302,30.12,25.27,83.0,1.12,19.08
2023,303,28.51,25.75,89.05,1.6,13.86
2023,304,29.11,25.79,86.72,2.22,10.44
2023,305,28.86,25.72,85.04,1.52,17.08
2023,306,29.25,25.23,87.75,2.34,19.02
2023,307,29.72,25.74,88.65,2.31,20.31
2023,308,29.77,25.84,87.33,2.14,18.0
2023,309,29.0,25.78,87.68,1.42,15.33
2023,310,28.83,25.4,88.46,1.3,18.0
2023,311,29.25,25.25,84.97,1.52,18.32
2023,312,28.18,25.54,88.49,2.04,16.54
2023,313,29.66,24.79,84.95,2.05,18.45
2023,314,28.95,25.67,87.58,2.12,19.98
2023,315,28.86,25.99,88.81,2.4,18.16
2023,316,29.05,25.74,88.68,1.95,19.32
2023,317,29.79,25.73,85.72,1.43,19.01
2023,318,29.97,25.8,84.81,1.32,20.6
2023,319,28.75,24.66,84.92,2.13,10.37
2023,320,30.04,23.64,79.98,1.56,16.5
2023,321,29.42,25.93,84.38,1.36,17.87
2023,322,29.6,25.5,87.5,1.64,16.21
2023,323,29.24,26.09,88.64,2.09,18.77
2023,324,29.76,25.94,86.82,1.93,19.55
2023,325,28.96,25.92,88.79,1.73,18.52
2023,326,29.95,26.02,86.99,2.98,19.46
2023,327,29.31,25.86,86.95,2.49,18.14
2023,328,28.53,26.15,90.11,2.47,11.38
2023,329,28.72,25.74,87.59,2.19,14.09
2023,330,27.63,24.77,83.31,1.39,4.37
2023,331,30.06,24.19,78.85,1.23,20.7
2023,332,28.82,25.23,87.37,2.15,18.82
2023,333,28.92,25.42,86.95,2.12,19.47
2023,334,29.5,25.12,85.52,1.66,18.93
2023,335,28.97,25.6,88.71,1.94,18.82
2023,336,29.43,25.59,86.96,2.02,20.11
2023,337,29.59,25.65,84.54,1.29,19.97
2023,338,30.81,25.45,84.01,1.72,20.2
2023,339,30.97,25.28,84.52,1.75,20.95
2023,340,30.17,25.34,84.52,1.73,18.07
2023,341,29.35,25.81,86.02,2.16,18.89
2023,342,29.02,25.61,82.37,1.55,19.15
2023,343,30.64,25.49,83.91,1.33,20.16
2023,344,31.13,25.54,82.83,1.7,19.57
2023,345,30.98,24.8,79.77,1.42,21.43
2023,346,29.64,23.28,75.78,1.84,15.36
2023,347,29.4,20.41,64.59,2.04,19.15
2023,348,29.64,22.1,61.72,1.3,20.05
2023,349,30.25,22.38,62.96,1.4,19.36
2023,350,30.59,22.89,66.92,1.24,18.65
2023,351,30.39,22.72,69.37,1.41,18.72
2023,352,30.21,21.64,65.66,1.67,19.55
2023,353,29.83,21.29,71.58,1.91,19.98
2023,354,30.32,24.41,71.17,1.93,18.81
2023,355,29.51,21.43,65.37,1.77,20.39
2023,356,30.05,21.87,65.22,1.52,19.34
2023,357,30.29,23.06,75.15,1.43,19.34
2023,358,30.92,23.72,75.46,1.65,19.97
2023,359,30.56,22.02,74.23,1.55,19.98
2023,360,30.27,23.15,76.23,1.87,18.21
2023,361,30.85,23.1,75.22,1.18,18.31
2023,362,31.37,24.27,75.84,1.11,17.86
2023,363,31.52,24.66,76.85,1.28,18.41
2023,364,31.34,24.4,76.83,1.47,17.27
2023,365,30.72,24.38,79.23,1.52,18.13
